GENETIC			
Population Size	Top N to mate	Energy	 Number of Generations
500	50	484	60
500	50	464	90
500	50	473	120
500	50	464	150
500	250	443	60
500	250	428	90
500	250	429	120
500	250	418	150
1000	50	470	60
1000	50	494	90
1000	50	482	120
1000	50	456	150
1000	250	425	60
1000	250	442	90
1000	250	416	120
1000	250	433	150
1000	450	429	60
1000	450	433	90
1000	450	425	120
1000	450	427	150
1500	50	471	60
1500	50	482	90
1500	50	552	120
1500	50	448	150
1500	250	433	60
1500	250	439	90
1500	250	424	120
1500	250	449	150
1500	450	434	60
1500	450	428	90
1500	450	431	120
1500	450	419	150
1500	650	417	60
1500	650	427	90
1500	650	425	120
1500	650	411	150
2000	50	469	60
2000	50	448	90
2000	50	522	120
2000	50	452	150
2000	250	431	60
2000	250	417	90
2000	250	419	120
2000	250	415	150
2000	450	428	60
2000	450	414	90
2000	450	420	120
2000	450	432	150
2000	650	427	60
2000	650	426	90
2000	650	404	120
2000	650	421	150
2000	850	416	60
2000	850	410	90
2000	850	419	120
2000	850	420	150
