START
SIMULATED ANNEALING
initialTemp	coolAmount	energy
1000	0.25	1478
1000	0.5	657
1000	0.75	1313
1000	1.0	1142
1000	1.25	830
1000	1.5	1517
1000	1.75	1989
1000	2.0	1651
1000	2.25	2408
1000	2.5	2183
1000	2.75	2129
1000	3.0	2802
1000	3.25	2255
1000	3.5	2721
1000	3.75	3633
1000	4.0	3991
1000	4.25	4520
1000	4.5	4287
1000	4.75	5084
1500	0.25	1164
1500	0.5	587
1500	0.75	731
1500	1.0	711
1500	1.25	837
1500	1.5	1486
1500	1.75	1780
1500	2.0	1448
1500	2.25	1408
1500	2.5	1807
1500	2.75	1723
1500	3.0	1878
1500	3.25	1972
1500	3.5	2837
1500	3.75	2161
1500	4.0	2598
1500	4.25	2010
1500	4.5	2994
1500	4.75	2717
2000	0.25	1353
2000	0.5	932
2000	0.75	674
2000	1.0	574
2000	1.25	755
2000	1.5	921
2000	1.75	781
2000	2.0	1011
2000	2.25	1010
2000	2.5	971
2000	2.75	1224
2000	3.0	1434
2000	3.25	1519
2000	3.5	1669
2000	3.75	1869
2000	4.0	1690
2000	4.25	2203
2000	4.5	2237
2000	4.75	2721
2500	0.25	1715
2500	0.5	566
2500	0.75	1614
2500	1.0	591
2500	1.25	877
2500	1.5	803
2500	1.75	844
2500	2.0	971
2500	2.25	1690
2500	2.5	1041
2500	2.75	1509
2500	3.0	1617
2500	3.25	1093
2500	3.5	1370
2500	3.75	1257
2500	4.0	1558
2500	4.25	1688
2500	4.5	1618
2500	4.75	1733
3000	0.25	1487
3000	0.5	633
3000	0.75	898
3000	1.0	671
3000	1.25	1006
3000	1.5	767
3000	1.75	906
3000	2.0	696
3000	2.25	821
3000	2.5	730
3000	2.75	1100
3000	3.0	1044
3000	3.25	1954
3000	3.5	1402
3000	3.75	1167
3000	4.0	1093
3000	4.25	1272
3000	4.5	1171
3000	4.75	1413
3500	0.25	1083
3500	0.5	653
3500	0.75	768
3500	1.0	701
3500	1.25	624
3500	1.5	980
3500	1.75	792
3500	2.0	684
3500	2.25	671
3500	2.5	1002
3500	2.75	832
3500	3.0	854
3500	3.25	812
3500	3.5	1018
3500	3.75	886
3500	4.0	813
3500	4.25	1240
3500	4.5	1394
3500	4.75	1460
4000	0.25	916
4000	0.5	838
4000	0.75	1387
4000	1.0	741
4000	1.25	643
4000	1.5	762
4000	1.75	782
4000	2.0	989
4000	2.25	809
4000	2.5	759
4000	2.75	875
4000	3.0	746
4000	3.25	932
4000	3.5	943
4000	3.75	745
4000	4.0	768
4000	4.25	1099
4000	4.5	1056
4000	4.75	1423
4500	0.25	1568
4500	0.5	635
4500	0.75	717
4500	1.0	686
4500	1.25	628
4500	1.5	647
4500	1.75	674
4500	2.0	833
4500	2.25	1040
4500	2.5	903
4500	2.75	703
4500	3.0	697
4500	3.25	626
4500	3.5	595
4500	3.75	1139
4500	4.0	858
4500	4.25	970
4500	4.5	912
4500	4.75	682
5000	0.25	1437
5000	0.5	783
5000	0.75	692
5000	1.0	706
5000	1.25	693
5000	1.5	666
5000	1.75	1239
5000	2.0	709
5000	2.25	776
5000	2.5	929
5000	2.75	820
5000	3.0	696
5000	3.25	642
5000	3.5	1020
5000	3.75	1015
5000	4.0	928
5000	4.25	713
5000	4.5	941
5000	4.75	1155
5500	0.25	1517
5500	0.5	763
5500	0.75	1306
5500	1.0	760
5500	1.25	723
5500	1.5	812
5500	1.75	552
5500	2.0	570
5500	2.25	665
5500	2.5	883
5500	2.75	639
5500	3.0	719
5500	3.25	810
5500	3.5	713
5500	3.75	1030
5500	4.0	843
5500	4.25	867
5500	4.5	857
5500	4.75	644
6000	0.25	1356
6000	0.5	588
6000	0.75	539
6000	1.0	795
6000	1.25	590
6000	1.5	560
6000	1.75	778
6000	2.0	608
6000	2.25	652
6000	2.5	674
6000	2.75	895
6000	3.0	630
6000	3.25	669
6000	3.5	931
6000	3.75	944
6000	4.0	798
6000	4.25	854
6000	4.5	813
6000	4.75	943
