


GENETIC
Population Size	Top N to mate    Number of Generations	Energy
500	50	60	482
500	50	90	467
500	50	120	470
500	50	150	489
500	250	60	427
500	250	90	428
500	250	120	423
500	250	150	437
1000	50	60	445
1000	50	90	453
1000	50	120	463
1000	50	150	593
1000	250	60	429
1000	250	90	425
1000	250	120	431
1000	250	150	441
1000	450	60	428
1000	450	90	439
1000	450	120	426
1000	450	150	426
1000	650	60	426
1000	650	90	417
1000	650	120	421
1000	650	150	416
1500	50	60	458
1500	50	90	470
1500	50	120	458
1500	50	150	505
1500	250	60	433
1500	250	90	433
1500	250	120	416
1500	250	150	427
1500	450	60	425
1500	450	90	432
1500	450	120	428
1500	450	150	420
1500	650	60	436
1500	650	90	412
1500	650	120	407
1500	650	150	434
1500	850	60	424
1500	850	90	411
1500	850	120	403
1500	850	150	415
2000	50	60	486
2000	50	90	468
2000	50	120	459
2000	50	150	461
2000	250	60	428
2000	250	90	426
2000	250	120	425
2000	250	150	441
2000	450	60	433
2000	450	90	428
2000	450	120	419
2000	450	150	424
2000	650	60	425
2000	650	90	425
2000	650	120	423
2000	650	150	421
2000	850	60	419
2000	850	90	410
2000	850	120	411
2000	850	150	419
2000	1050	60	423
2000	1050	90	424
2000	1050	120	423
2000	1050	150	421
2000	1250	60	434
2000	1250	90	411
2000	1250	120	409
2000	1250	150	411
